date    ,name           ,long.         
14.01.1901,Neptune        , 87.1759210
14.01.1901,Pluto          , 76.0505788
28.01.1901,Jupiter        , 271.8185923
28.01.1901,Saturn         , 280.8105636
28.01.1901,Uranus         , 255.6793632
28.01.1901,Neptune        , 86.8587091
28.01.1901,Pluto          , 75.8670639
11.02.1901,Jupiter        , 274.5947467
11.02.1901,Saturn         , 282.2840554
11.02.1901,Uranus         , 256.2207338
11.02.1901,Neptune        , 86.6202710
11.02.1901,Pluto          , 75.7430756
25.02.1901,Jupiter        , 277.1012212
25.02.1901,Saturn         , 283.5972677
25.02.1901,Uranus         , 256.6140376
25.02.1901,Neptune        , 86.4787179
25.02.1901,Pluto          , 75.6872564
11.03.1901,Jupiter        , 279.2620697
11.03.1901,Saturn         , 284.7014092
11.03.1901,Uranus         , 256.8423252
11.03.1901,Neptune        , 86.4452277
11.03.1901,Pluto          , 75.7037344
25.03.1901,Jupiter        , 281.0032881
25.03.1901,Saturn         , 285.5548983
25.03.1901,Uranus         , 256.8981972
25.03.1901,Neptune        , 86.5230628
25.03.1901,Pluto          , 75.7919258
08.04.1901,Jupiter        , 282.2488134
08.04.1901,Saturn         , 286.1213869
08.04.1901,Uranus         , 256.7835532
08.04.1901,Neptune        , 86.7089237
08.04.1901,Pluto          , 75.9471261
22.04.1901,Jupiter        , 282.9353772
22.04.1901,Saturn         , 286.3778823
22.04.1901,Uranus         , 256.5119521
22.04.1901,Neptune        , 86.9935327
22.04.1901,Pluto          , 76.1612240
06.05.1901,Jupiter        , 283.0171741
06.05.1901,Saturn         , 286.3146096
06.05.1901,Uranus         , 256.1072560
06.05.1901,Neptune        , 87.3631727
06.05.1901,Pluto          , 76.4232756
20.05.1901,Jupiter        , 282.4903896
20.05.1901,Saturn         , 285.9437763
20.05.1901,Uranus         , 255.6036974
20.05.1901,Neptune        , 87.8007704
20.05.1901,Pluto          , 76.7205757
03.06.1901,Jupiter        , 281.4058798
03.06.1901,Saturn         , 285.2992044
03.06.1901,Uranus         , 255.0426973
03.06.1901,Neptune        , 88.2869419
03.06.1901,Pluto          , 77.0389299
17.06.1901,Jupiter        , 279.8894841
17.06.1901,Saturn         , 284.4412091
17.06.1901,Uranus         , 254.4702856
17.06.1901,Neptune        , 88.8010462
17.06.1901,Pluto          , 77.3637774
01.07.1901,Jupiter        , 278.1344646
01.07.1901,Saturn         , 283.4506719
01.07.1901,Uranus         , 253.9328560
01.07.1901,Neptune        , 89.3215074
01.07.1901,Pluto          , 77.6801946
15.07.1901,Jupiter        , 276.3800361
15.07.1901,Saturn         , 282.4246825
15.07.1901,Uranus         , 253.4734764
15.07.1901,Neptune        , 89.8271222
15.07.1901,Pluto          , 77.9739906
29.07.1901,Jupiter        , 274.8646003
29.07.1901,Saturn         , 281.4635860
29.07.1901,Uranus         , 253.1287442
29.07.1901,Neptune        , 90.2967233
29.07.1901,Pluto          , 78.2314977
12.08.1901,Jupiter        , 273.7834794
12.08.1901,Saturn         , 280.6609515
12.08.1901,Uranus         , 252.9261529
12.08.1901,Neptune        , 90.7106538
12.08.1901,Pluto          , 78.4409227
26.08.1901,Jupiter        , 273.2626424
26.08.1901,Saturn         , 280.0925071
26.08.1901,Uranus         , 252.8835075
26.08.1901,Neptune        , 91.0505999
26.08.1901,Pluto          , 78.5919455
09.09.1901,Jupiter        , 273.3552999
09.09.1901,Saturn         , 279.8108330
09.09.1901,Uranus         , 253.0080229
09.09.1901,Neptune        , 91.3013685
09.09.1901,Pluto          , 78.6773762
23.09.1901,Jupiter        , 274.0578539
23.09.1901,Saturn         , 279.8437650
23.09.1901,Uranus         , 253.2978842
23.09.1901,Neptune        , 91.4507811
23.09.1901,Pluto          , 78.6925931
07.10.1901,Jupiter        , 275.3265557
07.10.1901,Saturn         , 280.1960835
07.10.1901,Uranus         , 253.7422460
07.10.1901,Neptune        , 91.4920503
07.10.1901,Pluto          , 78.6374017
21.10.1901,Jupiter        , 277.0982654
21.10.1901,Saturn         , 280.8543089
21.10.1901,Uranus         , 254.3237409
21.10.1901,Neptune        , 91.4234824
21.10.1901,Pluto          , 78.5150857
04.11.1901,Jupiter        , 279.2986915
04.11.1901,Saturn         , 281.7900904
04.11.1901,Uranus         , 255.0184356
04.11.1901,Neptune        , 91.2509930
04.11.1901,Pluto          , 78.3340890
18.11.1901,Jupiter        , 281.8539541
18.11.1901,Saturn         , 282.9658648
18.11.1901,Uranus         , 255.7985711
18.11.1901,Neptune        , 90.9869189
18.11.1901,Pluto          , 78.1063001
02.12.1901,Jupiter        , 284.6896189
02.12.1901,Saturn         , 284.3363706
02.12.1901,Uranus         , 256.6321327
02.12.1901,Neptune        , 90.6516635
02.12.1901,Pluto          , 77.8480587
16.12.1901,Jupiter        , 287.7368622
16.12.1901,Saturn         , 285.8532446
16.12.1901,Uranus         , 257.4856992
16.12.1901,Neptune        , 90.2707448
16.12.1901,Pluto          , 77.5774751
30.12.1901,Jupiter        , 290.9275442
30.12.1901,Saturn         , 287.4643736
30.12.1901,Uranus         , 258.3239252
30.12.1901,Neptune        , 89.8748305
30.12.1901,Pluto          , 77.3146373
13.01.1902,Jupiter        , 294.1988716
13.01.1902,Saturn         , 289.1177172
13.01.1902,Uranus         , 259.1125308
13.01.1902,Neptune        , 89.4951008
13.01.1902,Pluto          , 77.0783803
27.01.1902,Jupiter        , 297.4869574
27.01.1902,Saturn         , 290.7595532
27.01.1902,Uranus         , 259.8176858
27.01.1902,Neptune        , 89.1623747
27.01.1902,Pluto          , 76.8862703
10.02.1902,Jupiter        , 300.7318289
10.02.1902,Saturn         , 292.3378913
10.02.1902,Uranus         , 260.4097735
10.02.1902,Neptune        , 88.9023654
10.02.1902,Pluto          , 76.7517376
24.02.1902,Jupiter        , 303.8700227
24.02.1902,Saturn         , 293.8001828
24.02.1902,Uranus         , 260.8625212
24.02.1902,Neptune        , 88.7356677
24.02.1902,Pluto          , 76.6846564
10.03.1902,Jupiter        , 306.8397371
10.03.1902,Saturn         , 295.0976837
10.03.1902,Uranus         , 261.1572914
10.03.1902,Neptune        , 88.6745541
10.03.1902,Pluto          , 76.6894794
24.03.1902,Jupiter        , 309.5734307
24.03.1902,Saturn         , 296.1827912
24.03.1902,Uranus         , 261.2820587
24.03.1902,Neptune        , 88.7247687
24.03.1902,Pluto          , 76.7667097
07.04.1902,Jupiter        , 312.0035861
07.04.1902,Saturn         , 297.0149940
07.04.1902,Uranus         , 261.2356564
07.04.1902,Neptune        , 88.8839935
07.04.1902,Pluto          , 76.9119207
21.04.1902,Jupiter        , 314.0557960
21.04.1902,Saturn         , 297.5590689
21.04.1902,Uranus         , 261.0260514
21.04.1902,Neptune        , 89.1448899
21.04.1902,Pluto          , 77.1177947
05.05.1902,Jupiter        , 315.6576330
05.05.1902,Saturn         , 297.7932236
05.05.1902,Uranus         , 260.6735253
05.05.1902,Neptune        , 89.4942528
05.05.1902,Pluto          , 77.3734905
19.05.1902,Jupiter        , 316.7350918
19.05.1902,Saturn         , 297.7084951
19.05.1902,Uranus         , 260.2072899
19.05.1902,Neptune        , 89.9163097
19.05.1902,Pluto          , 77.6668003
02.06.1902,Jupiter        , 317.2296993
02.06.1902,Saturn         , 297.3184110
02.06.1902,Uranus         , 259.6664842
02.06.1902,Neptune        , 90.3917213
02.06.1902,Pluto          , 77.9834457
16.06.1902,Jupiter        , 317.1035949
16.06.1902,Saturn         , 296.6572787
16.06.1902,Uranus         , 259.0947237
16.06.1902,Neptune        , 90.9006251
16.06.1902,Pluto          , 78.3091167
30.06.1902,Jupiter        , 316.3691891
30.06.1902,Saturn         , 295.7869867
30.06.1902,Uranus         , 258.5390116
30.06.1902,Neptune        , 91.4211775
30.06.1902,Pluto          , 78.6286520
14.07.1902,Jupiter        , 315.0988771
14.07.1902,Saturn         , 294.7885847
14.07.1902,Uranus         , 258.0435286
14.07.1902,Neptune        , 91.9325419
14.07.1902,Pluto          , 78.9279014
28.07.1902,Jupiter        , 313.4486569
28.07.1902,Saturn         , 293.7608718
28.07.1902,Uranus         , 257.6482574
28.07.1902,Neptune        , 92.4129903
28.07.1902,Pluto          , 79.1928362
11.08.1902,Jupiter        , 311.6365469
11.08.1902,Saturn         , 292.8037488
11.08.1902,Uranus         , 257.3842907
11.08.1902,Neptune        , 92.8428351
11.08.1902,Pluto          , 79.4114656
25.08.1902,Jupiter        , 309.9209885
25.08.1902,Saturn         , 292.0121091
25.08.1902,Uranus         , 257.2739267
25.08.1902,Neptune        , 93.2029348
25.08.1902,Pluto          , 79.5730093
08.09.1902,Jupiter        , 308.5376811
08.09.1902,Saturn         , 291.4602240
08.09.1902,Uranus         , 257.3285491
08.09.1902,Neptune        , 93.4775116
08.09.1902,Pluto          , 79.6698002
22.09.1902,Jupiter        , 307.6701932
22.09.1902,Saturn         , 291.2012145
22.09.1902,Uranus         , 257.5502697
22.09.1902,Neptune        , 93.6532050
22.09.1902,Pluto          , 79.6966817
06.10.1902,Jupiter        , 307.4174853
06.10.1902,Saturn         , 291.2604779
06.10.1902,Uranus         , 257.9316832
06.10.1902,Neptune        , 93.7219665
06.10.1902,Pluto          , 79.6527073
20.10.1902,Jupiter        , 307.8114191
20.10.1902,Saturn         , 291.6426769
20.10.1902,Uranus         , 258.4580537
20.10.1902,Neptune        , 93.6805519
20.10.1902,Pluto          , 79.5406295
03.11.1902,Jupiter        , 308.8236505
03.11.1902,Saturn         , 292.3313599
03.11.1902,Uranus         , 259.1078340
03.11.1902,Neptune        , 93.5330355
03.11.1902,Pluto          , 79.3679968
17.11.1902,Jupiter        , 310.3977022
17.11.1902,Saturn         , 293.2978323
17.11.1902,Uranus         , 259.8546129
17.11.1902,Neptune        , 93.2901186
17.11.1902,Pluto          , 79.1463427
01.12.1902,Jupiter        , 312.4556205
01.12.1902,Saturn         , 294.5015629
01.12.1902,Uranus         , 260.6678767
01.12.1902,Neptune        , 92.9703183
01.12.1902,Pluto          , 78.8912407
15.12.1902,Jupiter        , 314.9186547
15.12.1902,Saturn         , 295.8972038
15.12.1902,Uranus         , 261.5142953
15.12.1902,Neptune        , 92.5981118
15.12.1902,Pluto          , 78.6208490
29.12.1902,Jupiter        , 317.7046462
29.12.1902,Saturn         , 297.4338981
29.12.1902,Uranus         , 262.3598755
29.12.1902,Neptune        , 92.2030704
29.12.1902,Pluto          , 78.3548939
12.01.1903,Jupiter        , 320.7393516
12.01.1903,Saturn         , 299.0601100
12.01.1903,Uranus         , 263.1690172
12.01.1903,Neptune        , 91.8166290
12.01.1903,Pluto          , 78.1127904
26.01.1903,Jupiter        , 323.9494800
26.01.1903,Saturn         , 300.7220790
26.01.1903,Uranus         , 263.9081238
26.01.1903,Neptune        , 91.4697917
26.01.1903,Pluto          , 77.9122061
09.02.1903,Jupiter        , 327.2701095
09.02.1903,Saturn         , 302.3674553
09.02.1903,Uranus         , 264.5456411
09.02.1903,Neptune        , 91.1898960
09.02.1903,Pluto          , 77.7675831
23.02.1903,Jupiter        , 330.6365134
23.02.1903,Saturn         , 303.9432992
23.02.1903,Uranus         , 265.0543256
23.02.1903,Neptune        , 90.9986609
23.02.1903,Pluto          , 77.6891394
09.03.1903,Jupiter        , 333.9904605
09.03.1903,Saturn         , 305.3991254
09.03.1903,Uranus         , 265.4121646
09.03.1903,Neptune        , 90.9107079
09.03.1903,Pluto          , 77.6825120
23.03.1903,Jupiter        , 337.2713528
23.03.1903,Saturn         , 306.6856112
23.03.1903,Uranus         , 265.6048752
23.03.1903,Neptune        , 90.9330095
23.03.1903,Pluto          , 77.7484685
06.04.1903,Jupiter        , 340.4221251
06.04.1903,Saturn         , 307.7574994
06.04.1903,Uranus         , 265.6264439
06.04.1903,Neptune        , 91.0655608
06.04.1903,Pluto          , 77.8837101
20.04.1903,Jupiter        , 343.3805049
20.04.1903,Saturn         , 308.5737106
20.04.1903,Uranus         , 265.4815062
20.04.1903,Neptune        , 91.3017276
20.04.1903,Pluto          , 78.0808938
04.05.1903,Jupiter        , 346.0846091
04.05.1903,Saturn         , 309.1012619
04.05.1903,Uranus         , 265.1847456
04.05.1903,Neptune        , 91.6302055
04.05.1903,Pluto          , 78.3301536
18.05.1903,Jupiter        , 348.4647765
18.05.1903,Saturn         , 309.3176108
18.05.1903,Uranus         , 264.7621597
18.05.1903,Neptune        , 92.0352438
18.05.1903,Pluto          , 78.6189260
01.06.1903,Jupiter        , 350.4505001
01.06.1903,Saturn         , 309.2158211
01.06.1903,Uranus         , 264.2482564
01.06.1903,Neptune        , 92.4989741
01.06.1903,Pluto          , 78.9337536
15.06.1903,Jupiter        , 351.9650657
